preference,cost,co2
84.5444455411699,13.615555555555556,15.055555555555557
26.497331601144918,6.482668804166666,7.802668804166666
28.320278161102294,12.879722124999999,4.179722125
82.22219893494416,11.587801375000002,50.277801374999996
37.0007957022597,6.5392042083333335,20.59920420833333
43.08296664416888,7.187034410833333,32.41703441083334
90.26141917337891,13.408582352500002,20.4385823525
57.32857247761318,8.68142857142857,24.071428571428573
41.78874677966197,9.621253673333333,8.211253673333333
113.35166774933715,18.9583327275,34.0483327275
112.59659097727332,18.77340921346154,47.50340921346154
19.021101834669427,14.438898475274724,3.1788984752747247
65.93493153687831,14.335069321428573,8.865069321428571
24.00794942149765,9.432050805000001,6.492050805
104.0366556565384,16.783345022954546,41.46334502295454
111.75000114440918,18.94,23.750000000000004
35.25970402536964,6.400297125,25.840297125000003
101.48177980208848,16.148221533055555,23.418221533055558
103.15000076293946,17.740000000000002,22.650000000000002
71.65414809460499,19.415852572967033,9.545852572967034
97.67422762876984,14.645771727500001,47.12577172750001
106.46964649657701,16.880353408055555,36.23035340805556
69.34176325694355,11.658237696730769,10.158237696730769
24.475000202655792,5.765000000000001,13.825
41.85107251799456,6.228927583333334,28.648927583333332
15.833333392937979,4.616666666666667,19.666666666666668
42.814151149520875,10.755849375,5.885849375
108.33401220367432,23.94598875,16.76598875
33.14062548926735,6.009375375,31.659375375000003
75.21802248543504,12.721978420555557,14.381978420555555
124.81387978422099,25.496119881993007,49.486119881993005
43.126975494888306,12.093025125,7.473025125000001
45.68078348080689,13.319217377500001,6.819217377499999
32.39500504720459,9.904995525,6.004995525
5.849999904632568,4.32,11.55
18.033333440621693,4.7266666666666675,13.366666666666665
62.934233059378315,10.585767798928572,9.665767798928572
47.37473834247389,8.655262158205128,18.325262158205128
106.22002441793187,15.899975319807693,48.2799753198077
79.41309445159318,10.496906430555557,43.286906430555554
124.77229273310995,28.337708506666665,36.42770850666667
120.92704739770943,22.252953186416086,37.57295318641608
31.47500067949295,5.115,29.424999999999997
52.528572048459736,11.491428571428571,8.471428571428572
53.119411434238685,9.280589233333332,8.780589233333332
117.73196478055443,22.288036411538464,18.76803641153846
93.04655640156633,14.243444122954545,34.65344412295455
17.474999964237213,5.915,12.024999999999999
112.67738620751462,21.102614984578278,32.622614984578284
109.1298817524849,16.840119010454544,50.77011901045454
32.11227726069224,8.507722810833334,7.7877228108333325
54.93470417107584,13.635296973333332,7.265296973333333
67.73409237511318,10.325908673928572,17.76590867392857
104.68299386786742,17.8270062275,33.0170062275
59.720750950708414,15.849250098333332,7.779250098333333
53.97555163627205,7.404448775,37.124448775
48.68195043636905,6.328050046428571,33.51805004642857
81.66545110025574,11.864549615000001,36.734549615
68.19784126077602,17.29215931142857,9.602159311428572
97.8022579901073,15.747741533055557,35.19774153305555
61.36921352857143,7.610786471428571,42.43078647142857
46.9455251410876,15.30447583642857,6.854475836428572
74.31255003311875,11.707450920555555,19.08745092055556
14.225199224929453,9.294800810833333,5.974800810833333
9.72019949988683,7.669800416666667,6.079800416666667
92.22031026506761,19.279690545555557,14.979690545555554
75.3422191417093,11.2077809775,28.457780977499997
68.86100151790293,13.128999447692305,9.738999447692308
56.753407915810385,18.916592465659342,7.346592465659341
22.833333631356556,4.466666666666667,21.466666666666665
78.80874764369568,13.941253309978633,12.491253309978633
123.9973729722203,23.29262680128205,44.60262680128206
80.82277856805115,10.677221575,36.077221574999996
124.98475758367285,21.395242666666665,50.61524266666666
117.50733460604927,20.182665262820514,42.69266526282051
87.3822700462816,10.737730430555557,50.31773043055556
92.12479891690919,14.9652022275,16.1752022275
50.2285721557481,8.261428571428572,25.371428571428574
28.290348673532485,6.3196520000000005,23.609652000000004
100.82381064653734,20.476190545555557,16.076190545555555
83.74444558885362,12.495555555555557,19.65555555555556
59.528572286878315,11.961428571428572,8.871428571428572
93.25000114440918,14.740000000000002,21.950000000000003
121.9719547704239,29.768046612403847,29.228046612403848
48.700000965595244,7.409999999999999,29.2
79.34444573190477,15.505555555555556,12.455555555555556
67.13750004768372,8.7025,34.262499999999996
88.9433029420929,16.08669825,13.35669825
23.437076386102294,11.3929239,5.6629239
121.93844550210149,24.381555642307696,19.96155564230769
88.54444399144914,12.185555555555556,44.45555555555556
39.98972830367432,7.950272649999999,22.110272650000002
70.9539792189937,15.146021639313187,10.346021639313186
119.14013242844436,21.82986766692308,49.35986766692308
57.91927074997355,9.020730108333334,16.88073010833333
40.257890374181365,8.772109899999998,13.6421099
54.51666752497355,10.393333333333334,16.083333333333332
61.3616899445047,10.1483096025,28.7383096025
22.40503272515579,7.4349674775,6.1949674775000005
107.09016890646001,20.709832714786327,16.509832714786327
