preference,cost,co2,distinct_groups
17.474900740827003,11.2750993426195,2.025099342619501,4
120.6854979513977,32.4045017625,59.8145017625,10
-0.8098481429494289,6.929848166791286,7.709848166791287,2
23.649999916553497,4.95,22.75,2
116.58644686981188,37.35355322555556,44.21355322555556,9
117.84948180760341,24.800518740759323,86.55051874075934,14
103.85104587640262,16.33895339642071,69.34895339642071,12
116.68644228321257,20.143558694303607,81.6135586943036,12
114.43878057311876,33.22122038055555,37.36122038055555,9
116.58644686981188,37.35355322555556,44.21355322555556,9
113.20716644541153,28.342834472499998,44.692834472499996,10
114.4895733645251,30.50042606923077,51.11042606923076,10
117.84948180760341,24.800518740759323,86.55051874075934,14
21.47207159536743,8.8079285,3.7279285,4
113.94359536588055,26.366403895021854,53.356403895021856,11
84.09539430774251,13.614606836666667,28.10460683666667,8
114.37631695476361,33.21368399891072,43.92368399891072,10
113.85359733982907,28.876402660170942,44.04640266017094,9
54.528572406087605,8.01142857142857,46.07142857142857,7
80.69470062107585,21.125300523333333,16.505300523333332,6
111.7518163462816,31.438184130555555,39.44818413055555,9
96.54752311511916,17.46247740940171,50.55247740940172,9
95.32997438367002,21.420026593846153,22.370026593846152,8
66.91206102568061,9.387939796863476,34.08793979686348,6
108.06293060786415,22.547068438461537,48.13706843846154,8
13.518221285819372,6.791778791666667,12.781778791666667,3
47.150700292685194,13.799300458333333,6.249300458333333,6
40.177763843385684,13.872237289102562,5.422237289102563,6
100.31221780739337,15.047782204527563,55.587782204527564,11
34.7824917420341,5.7775083533333325,19.917508353333332,5
108.47917893832496,24.95082087094017,39.62082087094017,9
37.2524629704806,15.787537208333333,4.747537208333334,6
74.07723824900772,14.082762633141026,24.022762633141024,8
15.522517309265137,9.8574825,2.2774824999999996,4
116.68644228321257,20.143558694303607,81.6135586943036,12
50.38032969747355,8.269671160833331,13.119671160833333,6
7.174255334826163,7.175744903592417,8.525744903592416,2
87.46605641105822,12.803945305555557,35.83394530555557,9
73.73268410410934,23.3973155025,14.2673155025,5
109.78321333268818,17.01678605934445,64.11678605934445,13
72.0210370383789,10.9189644875,25.0789644875,8
90.94483478761317,18.985166261428567,20.25516626142857,7
107.64444568422105,24.185555555555556,33.25555555555556,9
79.86074118124634,11.699260440000002,27.639260439999997,8
106.94832532935688,17.611674014992033,59.15167401499205,12
108.65588854498338,16.434111085467823,61.64411108546783,12
120.6854979513977,32.4045017625,59.8145017625,10
106.10958026285354,18.270420976923077,28.390420976923075,8
107.74444558885362,25.455555555555556,30.65555555555556,9
88.55331368203275,15.226687843846154,21.346687843846155,8
98.24444558885362,23.205555555555556,28.355555555555558,9
109.6992959700901,25.34070364844017,48.30070364844017,9
33.77372564350382,6.006274833333334,15.926274833333332,4
101.43832533568091,15.631674437821438,58.06167443782144,12
76.7709055123736,13.869094833333333,25.829094833333336,6
23.649999916553497,4.95,22.75,2
53.406650336773424,7.653350378482313,26.49335037848231,8
64.27990588022486,20.180093583333335,11.620093583333334,6
111.36920015183716,31.060800325000002,38.130800325,8
94.03008987124633,16.15991175,32.06991175,8
63.44774655602316,10.012254779120878,23.452254779120878,7
25.973669848986674,9.296330961636494,10.126330961636494,3
103.03103219455957,15.358967721993931,66.96896772199392,11
92.78456625906587,14.795433752855054,56.715433752855056,10
115.49638923632642,21.17361010802248,60.30361010802248,14
108.14867883885363,26.03132230555556,30.85132230555556,9
29.652269440734862,7.44773075,15.04773075,4
58.140290576976774,17.169709125,7.459709125000001,4
68.80059328485743,22.659406083333337,12.399406083333332,6
42.974623987513226,8.045375583333334,19.925375583333334,6
5.867411918677503,7.002588343582934,12.032588343582935,2
94.96463225215918,14.555367807445462,57.73536780744546,10
103.03103219455957,15.358967721993931,66.96896772199392,11
2.926074263796651,6.443925807728922,12.873925807728924,2
86.83750104904175,14.672500000000001,25.162499999999998,8
62.64978758252047,19.300213371153845,13.250213371153846,5
25.595555047683717,13.034445,5.104445,5
110.70497477114345,31.145025896428574,37.195025896428575,7
59.917590553969724,12.802409827500002,9.5824098275,5
62.3895820954806,18.170418083333335,12.21041808333333,6
32.90000065565109,12.18,5.2,5
9.878214343824219,7.291785298547912,11.221785298547912,2
99.94444539811876,23.93555555555556,28.35555555555556,9
51.67138769731776,16.278612958333333,7.0286129583333325,6
55.80472424465982,9.215277185851647,22.49527718585165,7
44.30289630381393,16.657103874999997,4.997103875,4
113.94359536588055,26.366403895021854,53.356403895021856,11
45.58454704780554,10.735454102564102,8.115454102564103,6
24.07899886307907,16.931001125,4.421001125,5
2.926074263796651,6.443925807728922,12.873925807728924,2
-0.8098481429494289,6.929848166791286,7.709848166791287,2
93.30250737454485,18.547493626813186,20.297493626813186,7
52.99520419987066,9.074795704761906,20.6047957047619,7
108.38745522283072,16.402544312253053,63.412544312253054,11
79.44253165793504,16.00746796059524,21.05746796059524,7
78.18575404193099,19.164246625641027,18.414246625641027,6
69.21241857447677,20.9175811275,13.487581127499999,5
58.8166678349177,8.633333333333335,37.583333333333336,6
70.41087611794624,14.8191252171978,19.1891252171978,7
9.878214343824219,7.291785298547912,11.221785298547912,2
